Date,rainfall
11/16/2016,0.8132
11/21/2016,0.6891
11/26/2016,0.3929
12/1/2016,0.4922
12/6/2016,0.1176
12/11/2016,0
12/16/2016,0
12/21/2016,0.1287
12/26/2016,0.7088
1/1/2017,1.7185
1/6/2017,1.9348
1/11/2017,1.8912
1/16/2017,1.4661
1/21/2017,1.3171
1/26/2017,1.5371
2/1/2017,0.8583
2/6/2017,0.7912
2/11/2017,0.8021
2/16/2017,0.8503
2/21/2017,0.8513
2/26/2017,0.618
3/1/2017,3.3762
3/6/2017,7.8103
3/11/2017,4.752
3/16/2017,4.1492
3/21/2017,2.6458
3/26/2017,3.8768
4/1/2017,2.455
4/6/2017,7.1542
4/11/2017,2.3106
4/16/2017,14.6526
4/21/2017,17.7162
4/26/2017,13.1781
5/1/2017,22.4941
5/6/2017,10.1801
5/11/2017,31.8861
5/16/2017,22.0639
5/21/2017,13.9112
5/26/2017,27.3697
6/1/2017,69.254
6/6/2017,11.8718
6/11/2017,22.1759
6/16/2017,68.2728
6/21/2017,29.4581
6/26/2017,16.2898
7/1/2017,134.7534
7/6/2017,153.111
7/11/2017,74.9626
7/16/2017,64.53
7/21/2017,119.7
7/26/2017,99.0207
8/1/2017,64.0717
8/6/2017,59.4354
8/11/2017,124.3413
8/16/2017,15.9175
8/21/2017,26.7761
8/26/2017,68.0476
9/1/2017,39.7851
9/6/2017,51.1572
9/11/2017,68.5002
9/16/2017,45.9873
9/21/2017,47.9474
9/26/2017,35.2605
10/1/2017,34.4065
10/6/2017,30.7134
10/11/2017,5.4663
10/16/2017,120.1748
10/21/2017,40.7001
10/26/2017,6.3249
11/1/2017,1.177
11/6/2017,0.9253
11/11/2017,3.7429
11/16/2017,5.957
11/21/2017,0.6891
11/26/2017,0.3929
12/1/2017,0.4922
12/6/2017,0.2189
12/11/2017,0
12/16/2017,0
12/21/2017,0.119
12/26/2017,0.6676
1/1/2018,1.4276
1/6/2018,1.6405
1/11/2018,1.5537
1/16/2018,1.4332
1/21/2018,1.2799
1/26/2018,1.3853
2/1/2018,0.9208
2/6/2018,3.031
2/11/2018,2.7943
2/16/2018,0.8552
2/21/2018,2.7947
2/26/2018,0.8339
3/1/2018,2.0193
3/6/2018,1.9026
3/11/2018,1.725
3/16/2018,2.4893
3/21/2018,2.1475
3/26/2018,9.7666
4/1/2018,9.9124
4/6/2018,20.7389
4/11/2018,16.7047
4/16/2018,6.7922
4/21/2018,10.075
4/26/2018,18.0303
5/1/2018,23.4892
5/6/2018,17.7544
5/11/2018,12.9011
5/16/2018,5.521
5/21/2018,24.9829
5/26/2018,40.6101
6/1/2018,29.9378
6/6/2018,21.0027
6/11/2018,36.0733
6/16/2018,39.3754
6/21/2018,18.4258
6/26/2018,12.1426
7/1/2018,100.5452
7/6/2018,3.7315
7/11/2018,10.0796
7/16/2018,23.6546
7/21/2018,108.8083
7/26/2018,273.598
8/1/2018,46.6577
8/6/2018,13.7818
8/11/2018,18.0564
8/16/2018,9.5596
8/21/2018,67.1895
8/26/2018,15.1233
9/1/2018,30.6172
9/6/2018,15.9103
9/11/2018,50.4371
9/16/2018,14.5536
9/21/2018,11.998
9/26/2018,5.3489
10/1/2018,2.1283
10/6/2018,15.7541
10/11/2018,13.8168
10/16/2018,3.1448
10/21/2018,4.6831
10/26/2018,5.4599
11/1/2018,1.3473
11/6/2018,0.9253
11/11/2018,0.7679
11/16/2018,0.837
11/21/2018,0.6891
11/26/2018,0.3929
12/1/2018,0.4922
12/6/2018,0.1176
12/11/2018,0
12/16/2018,0
12/21/2018,0.1244
12/26/2018,0.6947
1/1/2019,1.4694
1/6/2019,1.6175
1/11/2019,1.5538
1/16/2019,1.4332
1/21/2019,1.2608
1/26/2019,1.2338
2/1/2019,0.8904
2/6/2019,1.0637
2/11/2019,0.9326
2/16/2019,0.9599
2/21/2019,5.0824
2/26/2019,1.1545
3/1/2019,3.3056
3/6/2019,2.2738
3/11/2019,2.0966
3/16/2019,3.5569
3/21/2019,3.3245
3/26/2019,22.5742
4/1/2019,6.4999
4/6/2019,21.848
4/11/2019,4.0702
4/16/2019,5.4738
4/21/2019,3.6004
4/26/2019,10.2838
5/1/2019,35.8122
5/6/2019,5.2729
5/11/2019,15.1671
5/16/2019,10.8459
5/21/2019,57.5119
5/26/2019,34.6025
6/1/2019,30.4526
6/6/2019,1.709
6/11/2019,11.551
6/16/2019,27.9702
6/21/2019,21.6557
6/26/2019,95.5203
7/1/2019,9.0368
7/6/2019,141.0523
7/11/2019,107.9538
7/16/2019,18.1872
7/21/2019,87.9471
7/26/2019,51.9611
8/1/2019,17.9273
8/6/2019,41.6871
8/11/2019,121.4175
8/16/2019,21.5211
8/21/2019,26.0337
8/26/2019,23.8259
9/1/2019,33.5778
9/6/2019,24.792
9/11/2019,56.7587
9/16/2019,2.511
9/21/2019,30.4577
9/26/2019,92.0322
